respid,sample,int_date,fcall,attempt,refusal,lang,phase,qa1,q1c1,qc1a,qb2,qb3,qb4,qb5,qa6,qa8,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qa9g,qa11a,qa11b,q11c_b,q11e_b,q11h_b,q11i_b,q11j_b,q11at,qb12,q25a,q25a,q25b,q25c,q25d,q25f,q25g,q25h,q25i,q25j,q25k,q25l,q25m,q25n,q25o,q25p,qb26,qc26,oftvote,q26f1,q26f1a,q26f1b,q26f2,q26f2a,q26f2b,Q26,Q26CAT,qb27,qb27a,int1,int2,int3m,qc28a,qc28b,qc28c,qc28d,qc28e,qc28f,qc28g,qc28h,qa29a,qa29b,q40,qb40a,qb40b,q41,q42,q43,qc48a,qc48b,qc48c,qc49a,qc49b,qc49c,q50q,q50r,q50s,q50t,q50u,q50v,q50w,q50y,q50z,q50aa,q50bb,q50dd,q50ee,q50ff,q50gg,150hh,q51uu,q51jj,q51kk,151ll,q51mm,q51oo,q51pp,q53,qb54,qb55,qc56,qc57,qc58a,qc58b,q100,q101,q102,q102a,q105a,q105b,q105d,q106,qb106,qb107,qb108,qb109,qa110,qb111,qb112,qb115,qb116,qb116a,qb117,q121,q121a,q121b,q122,q122a,q122b,q123,q123a,q123b,q124,q124a,q124b,q125,q125a,q125b,q126,q126a,q126b,qc127,qc128,qc135,qc135a,b139txt,qb139,b139atxt,qb139a,sex,age,educ,hisp,racem1,racem2,racem3,racem4,birht_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystrflag,partystr,partysum,ideo,qd140,qb140b,qb141,qb141b,qc142,q148,q149,teaparty2,q150,pvote12a,pvote12b,employ2,employ1,employ7,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,racecmb,racethn,intuser,q148correct,llweight,cellweight,ideoConsis,iseoConsistREC,bys,typogroups,weight
200745,1,140217,140217,3,0,1,2,,,,2,1,1,1,,,,,,,,,,2,3,3,2,1,2,2,,,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,2,9,,,,,,,,2,2,1,,2,,,2,1,2,1,2,2,1,1,1,,,1,,,,,,1,1,,,,,2,,,,2,1,2,,1,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,1,35,4,2,1,,,,,1,1,,,1,,1,1,6,,1,1,,1,2,1,2,2,,,,,99,2,1,,1,2,1,,,4,2,1,,,,2,2,1,1,,,,1,1,1,9,1.5300998,,0,3,0,2,1.1202999
200747,1,140217,140217,3,0,1,2,,,,2,2,2,2,,,,,,,,,,2,3,3,3,2,2,2,,,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,3,3,1,2,,,,,,,,1,1,1,,1,,,1,2,1,2,2,2,1,2,2,,,1,,,,,,2,2,,,,,2,,,,2,1,2,,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,2,67,5,2,1,,,,,1,1,,,12,,,6,6,,1,3,1,1,,1,3,2,,2,,,5,5,3,,1,2,3,2,,2,2,1,,,,2,2,2,1,,,,1,1,1,1,0.581363,,-2,3,0,5,0.5668937
200748,1,140217,140217,3,0,1,2,,,,2,2,2,1,,,,,,,,,,2,4,3,4,1,4,4,,,2,1,2,1,2,2,9,1,1,1,1,2,1,2,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,3,3,1,2,,,,,,,,2,1,1,,9,,,2,1,9,1,1,1,2,2,1,,,1,,,,,,1,1,,,,,2,,,,2,2,2,,1,2,3,2,9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,9,1,,1,48,6,2,1,,,,,1,1,,,1,,2,6,9,1,1,3,1,1,,1,2,2,,1,1,,9,1,1,,1,2,1,,,2,2,1,,,,2,1,2,1,,,,1,1,1,2,0.8107122,,8,5,0,7,0.5669221
200750,1,140217,140217,3,0,1,2,,,,2,1,2,1,,,,,,,,,,2,3,3,3,8,2,3,,,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,,1,,2,,,,,,,,,1,,1,,,,,,,,,,,,,2,2,3,1,2,,,,,,,,2,1,2,,1,,,1,2,1,2,1,2,2,2,1,,,1,,,,,,1,1,,,,,2,,,,2,2,2,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,1,,1,34,6,2,1,,,,,1,1,,,2,,2,5,9,1,1,1,,1,2,1,2,2,,,,,99,4,2,,1,2,1,,,2,2,1,,,,2,1,2,1,,,,1,1,1,9,3.9533065,,2,3,0,5,0.6651055
200751,1,140217,140217,3,0,1,2,,,,2,2,2,1,,,,,,,,,,4,4,3,4,2,3,4,,,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,,2,,2,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,1,2,,,,,,,,2,1,2,,2,,,2,1,2,1,1,1,2,2,1,,,1,,,,,,1,1,,,,,2,,,,2,1,2,,1,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,55,3,2,1,5,,,,1,1,,,1,,1,4,1,,1,3,1,1,,1,2,2,,1,1,,4,2,2,,1,2,3,2,,3,3,1,,,,2,1,2,1,3,,,4,4,1,1,2.5100129,,8,5,0,7,1.1409335
200752,1,140217,140217,3,0,1,2,,,,2,9,1,2,,,,,,,,,,2,3,2,4,1,3,2,,,9,9,2,1,1,2,1,1,1,2,1,2,1,2,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,1,2,,,,,,,,2,1,1,,2,,,1,2,2,1,1,2,2,1,1,,,2,,,,,,1,1,,,,,1,2,,,2,2,1,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,88,3,2,1,,,,,2,5,,1,2,,2,2,4,,3,1,,1,1,1,2,,,,,,,,3,,,,3,2,,1,,1,,,2,,1,2,1,,,,1,1,1,,0.2460793,,5,4,0,7,0.5986209
200754,1,140217,140217,3,0,1,2,,,,2,1,9,1,,,,,,,,,,9,4,4,4,2,3,3,,,2,1,2,1,2,9,9,1,1,2,1,1,5,9,9,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,1,2,,,,,,,,2,1,1,,9,,,2,5,9,1,9,1,9,1,9,,,2,,,,,,1,1,,,,,1,1,1,2,2,1,1,,2,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,2,55,6,2,1,,,,,1,1,,,1,,9,1,8,,1,1,,1,1,1,1,2,,,,,99,1,1,,1,2,1,,,4,9,1,,,,2,2,2,1,,,,1,1,1,9,0.6227823,,6,4,0,6,0.608014
200757,1,140217,140217,3,0,1,2,,,,2,1,2,3,,,,,,,,,,3,3,4,3,2,4,2,,,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,,2,,1,,,,,,,,,3,1,1,,,,,,,,,,,,,1,3,3,1,2,,,,,,,,2,2,2,,1,,,2,2,1,2,2,2,2,2,1,,,1,,,,,,2,1,,,,,1,9,,,2,1,2,,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,1,,1,52,6,2,1,,,,,1,1,,,12,,,5,10,,1,3,2,1,,2,3,1,1,1,2,,9,2,1,,1,3,9,,,2,2,1,,,,2,1,2,1,,,,1,1,1,2,0.5052798,,4,4,0,5,0.5234607
200760,1,140217,140217,3,0,1,2,,,,2,1,2,2,,,,,,,,,,1,4,3,3,1,1,4,,,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,1,2,,,,,,,,1,1,1,,1,,,1,2,2,1,2,1,1,2,1,,,1,,,,,,1,1,,,,,2,,,,2,2,2,,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,1,55,6,2,1,,,,,1,6,,,2,,2,5,5,,1,1,,1,1,1,2,2,,,,,9,1,1,,1,2,1,,,1,,1,,,2,,1,1,1,,,,1,1,1,2,0.2861083,,6,4,0,6,0.3599559
200763,1,140218,140217,4,0,1,2,,,,2,9,2,1,,,,,,,,,,1,4,4,2,9,2,2,,,9,1,2,1,1,2,2,1,2,1,1,9,9,9,5,,9,,1,,,,,,,,,1,,1,,,,,,,,,,,,,4,3,3,1,2,,,,,,,,1,9,2,,2,,,2,1,2,2,1,2,2,2,1,,,1,,,,,,1,1,,,,,2,,,,2,2,2,,1,1,4,2,9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,2,2,76,4,2,1,,,,,1,5,,,1,,2,2,2,,1,1,,1,1,1,9,2,,,,,8,2,3,,1,2,4,1,,1,,1,,,3,,2,1,1,,,,1,1,1,2,0.1934887,,4,4,0,7,0.3838889
200764,1,140217,140217,3,0,1,2,,,,1,1,9,9,,,,,,,,,,2,2,3,3,3,2,2,,,1,2,1,5,5,2,1,1,2,2,1,2,1,1,2,,1,,1,,,,,,,,,3,3,1,,,,,,,,,,,,,1,2,3,2,1,,,,,,,,1,2,2,,1,,,1,2,2,1,2,1,1,5,2,,,2,,,,,,2,2,,,,,2,,,,2,2,2,,2,1,9,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,1,66,3,2,1,,,,,1,1,,,4,,2,2,6,,1,3,9,1,,9,3,1,2,1,2,,9,2,2,,1,1,1,,,3,3,2,1,,,3,1,2,1,,,,1,1,1,2,1.5417255,,-6,2,0,2,1.2219317
200768,1,140217,140217,2,0,1,2,,,,1,2,1,1,,,,,,,,,,4,2,4,1,3,2,2,,,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,2,3,1,1,,,,,,,,1,2,2,,1,,,1,2,1,2,2,1,1,2,2,,,2,,,,,,2,1,,,,,1,2,,,2,1,2,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,1,,2,38,8,2,1,,,,,1,1,,,12,,,3,7,,1,2,,1,1,2,5,,,2,,,9,2,2,,1,1,1,,,2,2,1,,,,2,2,2,1,,,,1,1,1,2,0.7372236,,-8,1,0,1,0.7088282
200771,1,140217,140217,3,0,1,2,,,,2,2,1,1,,,,,,,,,,3,3,3,2,2,2,2,,,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,2,1,,,,,,,,2,1,2,,1,,,1,2,2,1,1,1,2,2,1,,,1,,,,,,2,2,,,,,1,2,,,2,1,1,,1,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,2,64,3,2,1,,,,,1,1,,,2,,2,2,10,,1,3,1,1,,1,3,1,1,1,1,,4,1,3,,1,1,1,,,2,2,1,,,,3,1,2,1,,,,1,1,1,1,0.9598151,,6,4,0,7,1.2766812
200772,1,140217,140217,3,0,1,2,,,,2,2,2,3,,,,,,,,,,2,4,2,3,1,4,4,,,2,1,2,1,2,2,1,1,1,1,1,2,2,2,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,3,3,1,2,,,,,,,,2,1,1,,2,,,1,2,2,1,2,2,2,1,1,,,1,,,,,,1,1,,,,,1,1,1,1,2,1,1,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,60,4,2,1,,,,,1,1,,,13,,1,2,7,,1,1,,1,2,1,1,2,,,,,99,2,1,,1,2,1,,,2,2,1,,,,1,2,1,1,,,,1,1,1,9,0.8655614,,8,5,0,7,0.7017876
200773,1,140217,140217,3,0,1,2,,,,1,1,1,1,,,,,,,,,,3,2,3,2,8,2,3,,,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,,1,,2,,,,,,,,,2,,1,,,,,,,,,,,,,2,2,3,1,2,,,,,,,,1,9,2,,5,,,1,2,2,1,2,1,1,1,2,,,2,,,,,,2,2,,,,,1,2,,,2,2,2,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,1,73,8,2,2,,,,,1,5,,,1,,2,1,4,,1,2,,1,1,2,3,,,2,,,5,1,2,,1,1,3,2,,1,,1,,,2,,2,2,1,,,,2,2,1,1,0.2125916,,-6,2,0,2,0.3341292
200774,1,140217,140217,3,0,1,2,,,,2,1,1,1,,,,,,,,,,2,2,3,3,1,9,3,,,2,2,2,2,1,2,1,1,1,2,9,2,1,1,1,,9,,1,,,,,,,,,9,9,2,2,2,,,,,,,,,,,1,2,3,1,1,,,,,,,,2,1,1,,1,,,2,1,2,9,1,9,2,2,1,,,9,,,,,,9,1,,,,,2,,,,2,2,2,,2,2,4,9,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,70,3,2,1,,,,,1,5,,,2,,9,4,10,,1,3,9,1,,9,9,9,,9,,,4,1,3,,1,9,3,2,,1,,1,,,3,,2,1,1,,,,1,1,0,1,0.3657206,,-2,3,0,4,0.5511713
200775,1,140217,140217,3,0,1,2,,,,1,1,2,2,,,,,,,,,,2,3,3,2,3,2,3,,,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,2,3,2,1,,,,,,,,2,2,2,,1,,,1,2,1,2,2,2,1,2,1,,,1,,,,,,1,2,,,,,1,2,,,2,2,2,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,2,53,8,2,1,,,,,1,1,,,2,,2,3,8,,1,3,1,1,,1,3,1,2,2,,,8,1,3,,1,2,1,,,6,5,1,,,,1,2,2,1,,,,1,1,1,1,0.6637316,,0,3,0,5,1.081363
200776,1,140217,140217,3,0,1,2,,,,2,2,2,1,,,,,,,,,,3,2,3,8,3,2,2,,,9,1,1,2,1,1,2,1,2,1,1,1,1,1,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,2,1,3,1,1,,,,,,,,1,1,1,,2,,,2,1,2,9,1,2,2,1,2,,,2,,,,,,9,1,,,,,1,2,,,2,2,2,,1,1,9,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,2,63,5,2,2,,,,,1,3,,,1,,1,2,7,,1,2,,1,2,2,3,,,2,,,99,2,3,,1,1,1,,,4,3,1,,,,2,1,2,1,,,,2,2,1,9,1.6030335,,-2,3,0,4,0.8836137
200777,1,140219,140217,5,0,1,2,,,,2,2,2,2,,,,,,,,,,1,8,3,3,3,8,2,,,2,1,2,2,1,9,1,2,2,2,1,2,1,1,1,,1,,4,,,,,,,,,1,,2,2,2,,,,,,,,,,,2,2,3,1,2,,,,,,,,1,9,2,,1,,,1,1,2,2,1,2,2,1,2,,,2,,,,,,9,1,,,,,2,,,,2,2,2,,2,1,3,9,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,88,3,2,1,,,,,1,5,,,2,,2,2,1,,1,1,,1,1,1,3,1,2,,,,99,2,1,,2,,3,2,,2,2,2,2,,,,1,2,2,,,,1,1,0,9,0.6651742,,-4,2,0,4,2.0821737
200778,1,140217,140217,7,0,1,2,,,,2,1,2,3,,,,,,,,,,3,4,4,3,1,2,4,,,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,,1,,2,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,2,2,,,,,,,,1,2,1,,2,,,1,1,1,2,1,1,2,2,1,,,1,,,,,,1,1,,,,,1,2,,,2,1,2,,1,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,67,3,2,1,,,,,1,1,,,11,1,1,5,7,,1,1,,1,2,1,2,2,,,,,9,2,3,,1,2,2,,2,2,2,1,,,,2,1,2,1,,,,1,1,1,2,0.8505067,,8,5,0,5,0.9905666
200780,1,140217,140217,4,0,1,2,,,,1,2,1,1,,,,,,,,,,4,1,3,2,4,2,2,,,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,2,3,2,1,,,,,,,,1,2,1,,1,,,2,2,1,2,2,1,2,2,2,,,2,,,,,,2,2,,,,,1,2,,,2,2,2,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,1,,2,43,6,2,3,,,,,1,1,,,10,,,6,6,,1,2,,1,1,2,4,,,2,,,99,4,2,,1,1,1,,,3,1,1,,,,2,1,2,1,,,,3,4,1,9,0.778584,,-10,1,0,1,0.4945299
200782,1,140217,140217,3,0,1,2,,,,1,1,1,1,,,,,,,,,,3,2,3,8,2,2,2,,,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,2,3,2,1,,,,,,,,1,2,1,,1,,,1,2,1,2,2,1,2,2,1,,,1,,,,,,2,2,,,,,1,1,1,1,2,1,2,,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,2,58,8,2,1,,,,,1,3,,,12,,,6,7,,1,3,2,1,,2,3,2,,1,2,,99,1,2,,1,1,1,,,1,,1,,,2,,1,2,1,,,,1,1,1,9,0.2306756,,-2,3,0,3,0.3341292
200783,1,140217,140217,3,0,1,2,,,,2,2,2,3,,,,,,,,,,3,3,4,4,4,3,2,,,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,,2,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,2,3,2,2,,,,,,,,1,2,1,,1,,,2,2,1,1,1,1,1,1,1,,,2,,,,,,1,2,,,,,2,,,,2,2,2,,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,1,,2,76,6,2,1,,,,,1,5,,,1,,2,4,4,,1,1,,1,1,1,2,2,,,,,9,1,3,,1,2,3,2,,2,2,1,,,,3,1,2,1,,,,1,1,1,2,0.2689982,,-4,2,0,4,0.4221874
200784,1,140217,140217,3,0,1,2,,,,2,9,2,1,,,,,,,,,,2,4,3,4,1,3,3,,,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,,2,,1,,,,,,,,,1,,2,2,1,,,,,,,,,,,1,3,3,1,2,,,,,,,,2,1,1,,9,,,1,2,5,2,1,5,2,2,1,,,1,,,,,,9,1,,,,,1,1,2,,2,2,2,,2,2,9,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,2,2,77,8,2,1,,,,,1,5,,,1,,2,4,10,,1,1,,1,1,1,2,2,,,,,9,1,1,,1,2,3,2,,1,,1,,,2,,2,1,1,,,,1,1,1,2,0.1934887,,7,5,0,7,0.3341292
200785,1,140217,140217,3,0,1,2,,,,2,2,2,3,,,,,,,,,,3,4,4,3,2,9,1,,,2,1,2,2,1,2,2,1,2,2,2,1,1,1,1,,2,,5,,,,,,,,,1,,2,2,2,,,,,,,,,,,2,3,4,2,2,,,,,,,,2,1,1,,1,,,2,1,1,1,1,2,2,2,1,,,1,,,,,,9,1,,,,,2,,,,2,2,2,,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,62,3,2,1,,,,,1,5,,,2,,9,5,1,,2,1,,1,1,1,2,,,,,,,,2,,,,2,,1,1,,1,,,2,,2,2,2,,,,1,1,0,,0.6273528,,0,3,0,4,0.6722234
200786,1,140217,140217,3,0,1,2,,,,2,1,2,9,,,,,,,,,,3,3,3,2,2,2,8,,,1,1,2,1,1,2,2,2,2,1,1,2,9,1,1,,9,,1,,,,,,,,,3,3,2,2,2,,,,,,,,,,,2,2,3,1,2,,,,,,,,2,2,2,,1,,,1,2,2,2,1,2,1,2,2,,,1,,,,,,1,1,,,,,2,,,,2,2,2,,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,2,2,83,3,2,1,,,,,1,1,,,1,,1,5,10,,1,3,9,1,,9,2,2,,2,,,99,1,3,,1,2,3,2,,3,3,2,1,,,3,2,2,1,,,,1,1,0,9,0.9961369,,0,3,0,5,0.9434572
200788,1,140217,140217,2,0,1,2,,,,2,2,1,1,,,,,,,,,,3,2,3,3,2,2,4,,,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,,2,,5,,,,,,,,,3,2,2,2,2,,,,,,,,,,,3,3,3,9,9,,,,,,,,1,1,2,,2,,,2,1,2,2,1,2,2,2,2,,,2,,,,,,9,1,,,,,2,,,,2,2,2,,1,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,65,3,2,1,,,,,1,3,,,13,,1,2,1,,3,3,2,1,,2,4,,,,,,,,3,,,,3,2,,1,,2,,,,,1,2,1,3,,,1,1,0,,0.3320457,,2,3,1,8,0.8323778
200789,1,140223,140217,6,1,1,2,,,,2,2,1,1,,,,,,,,,,3,3,3,3,2,3,3,,,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,,1,,1,,,,,,,,,9,9,1,,,,,,,,,,,,,2,3,3,1,1,,,,,,,,2,1,2,,1,,,2,2,2,2,1,2,2,2,1,,,1,,,,,,2,1,,,,,2,,,,2,1,2,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,2,2,56,6,2,1,,,,,1,1,,,1,,2,3,7,,1,3,2,1,,2,2,2,,1,1,,9,1,2,,1,1,1,,,2,2,1,,,,2,1,2,1,3,,,1,1,1,2,0.3875198,,2,3,0,4,0.4488568
200790,1,140217,140217,2,0,1,2,,,,2,2,1,1,,,,,,,,,,4,2,4,2,4,8,3,,,1,2,1,2,1,1,1,2,2,1,1,2,1,1,1,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,,1,2,3,1,2,,,,,,,,1,2,1,,1,,,2,2,2,2,2,2,1,2,2,,,2,,,,,,2,1,,,,,1,1,1,2,2,2,2,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,55,6,2,2,,,,,1,3,,,13,,1,2,6,,1,2,,1,1,2,3,,,2,,,4,1,2,,1,1,2,,2,2,2,1,,,,2,2,2,2,,,,2,2,1,1,0.6986711,,-10,1,0,1,0.4893919
200791,1,140217,140217,2,0,1,2,,,,1,1,2,2,,,,,,,,,,1,3,1,3,1,3,2,,,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,,1,,2,,,,,,,,,1,,1,,,,,,,,,,,,,2,2,3,1,1,,,,,,,,1,1,1,,1,,,2,1,2,1,1,2,1,1,2,,,1,,,,,,1,2,,,,,2,,,,2,1,2,,2,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,2,55,6,1,1,,,,3,,1,,1,2,,2,2,7,,1,1,,1,2,1,2,1,1,,,,99,2,3,,1,2,1,,,4,4,1,,,,2,1,2,1,,,,1,3,1,9,3.0110895,,4,4,0,7,1.0668984
200797,1,140217,140217,3,0,1,2,,,,2,1,2,2,,,,,,,,,,2,3,4,3,1,3,4,,,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,,2,,2,,,,,,,,,1,,1,,,,,,,,,,,,,2,2,3,2,1,,,,,,,,1,2,1,,1,,,1,2,2,1,1,2,2,2,1,,,2,,,,,,1,1,,,,,1,2,,,2,2,2,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,36,5,2,1,,,,,1,1,,,13,,2,3,6,,1,1,,1,2,1,3,1,1,,,,99,3,1,,2,,2,,2,4,2,1,,,,1,1,2,1,,,,1,1,1,9,1.4182371,,6,4,0,7,1.5071806
200798,1,140217,140217,4,0,1,2,,,,2,1,1,1,,,,,,,,,,2,3,2,3,1,2,4,,,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,,2,,1,,,,,,,,,1,,2,2,2,,,,,,,,,,,1,2,3,1,2,,,,,,,,2,1,1,,2,,,1,1,1,1,1,2,2,2,1,,,1,,,,,,1,1,,,,,2,,,,2,1,2,,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,2,73,3,2,1,,,,,1,1,,,1,,1,1,10,,1,2,,1,2,2,2,,,2,,,99,1,1,,1,2,3,2,,2,2,1,,,,3,2,2,1,,,,1,1,0,3,0.7555755,,8,5,0,7,0.7449363
200799,1,140217,140217,2,0,1,2,,,,2,1,2,2,,,,,,,,,,3,3,4,3,4,2,2,,,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,,2,,1,,,,,,,,,1,,2,2,2,,,,,,,,,,,1,2,3,1,2,,,,,,,,1,1,2,,1,,,1,2,2,1,1,2,1,2,1,,,1,,,,,,1,1,,,,,1,2,,,2,2,2,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,2,2,89,4,2,1,,,,,1,5,,,1,,2,2,2,,1,1,,1,2,1,3,2,,,,,8,2,2,,1,2,3,2,,1,,2,,,,,1,2,1,,,,1,1,0,2,0.19527,,4,4,0,5,0.5337946
200800,1,140217,140217,2,0,1,2,,,,1,1,1,1,,,,,,,,,,4,4,4,1,8,8,2,,,1,1,1,2,5,1,1,1,2,1,2,1,1,1,1,,1,,1,,,,,,,,,2,,2,1,,,,,,,,,,,,3,2,4,9,9,,,,,,,,1,2,1,,2,,,1,2,2,2,2,2,2,9,2,,,1,,,,,,9,1,,,,,2,,,,2,1,2,,2,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,64,3,1,7,,,,1,,5,,,13,,1,2,10,,9,2,,1,2,2,9,,,,,,,,8,,,,3,2,,1,,1,,,2,,1,1,1,,,,5,3,1,,0.7331187,,-5,2,0,4,0.4980395
200801,1,140217,140217,2,0,1,2,,,,2,1,2,1,,,,,,,,,,3,2,4,2,4,2,4,,,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,,1,,1,,,,,,,,,2,,2,2,1,,,,,,,,,,,1,2,3,1,2,,,,,,,,1,2,1,,2,,,1,1,2,1,1,1,2,1,2,,,2,,,,,,2,1,,,,,1,2,,,2,2,2,,2,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,1,1,70,3,2,2,,,,,1,1,,,1,1,1,1,10,,1,2,,1,1,2,3,,,2,,,5,1,2,,1,1,1,,,2,2,1,,,,2,1,2,1,,,,2,2,1,1,1.6796906,,-4,2,0,4,1.0090684
200804,1,140217,140217,2,0,1,2,,,,2,1,2,1,,,,,,,,,,2,3,3,3,2,3,3,,,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,,2,,2,,,,,,,,,1,,1,,,,,,,,,,,,,2,2,3,2,1,,,,,,,,2,1,2,,2,,,2,1,2,1,1,2,2,1,1,,,2,,,,,,1,1,,,,,2,,,,2,2,2,,1,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,1,2,2,38,5,2,1,,,,,1,1,,,12,,,2,4,,1,1,,1,1,1,1,1,2,,,,99,3,8,,1,2,1,,,5,2,1,,,,2,2,2,2,,,,1,1,1,9,1.3473633,,6,4,0,7,1.3091552
